Title,Category,Views,Likes,Comments,Duration
MrBeast Challenge,Entertainment,9500000,850000,45000,15
Tech Review iPhone,Technology,4200000,310000,12000,12
Gaming Live Stream,Gaming,6700000,540000,28000,180
Bollywood Trailer,Entertainment,8800000,720000,39000,3
Python Tutorial,Education,2500000,210000,9000,45
Football Highlights,Sports,5100000,430000,17000,10
Cooking Pasta,Food,1900000,150000,5000,8
Travel Vlog Dubai,Travel,3600000,270000,11000,20
AI Explained,Technology,2900000,240000,9500,25
Funny Shorts,Entertainment,12000000,990000,52000,1
